id,user_id,movie_id,rating1,rating2,rating3,rating4,overall_rating
1,1,1,3,2,3,1,3.57
2,1,2,5,4,5,3,4.25
3,1,2,5,5,5,3,4.5
4,1,2,3,3,3,3,3
5,3,1,4,5,3,2,3.5
6,4,1,5,5,5,5,5
7,6,3,4,5,5,5,4.75
8,6,4,5,4,3,3,3.75
9,6,5,5,5,5,5,5
10,6,6,4,5,4,3,4
11,6,7,5,5,5,5,5
12,6,8,3,3,3,4,3.25
13,6,9,5,4,4,4,4.25
14,6,9,4,3,3,4,3.5
15,6,10,5,4,3,4,4
16,6,11,3,4,3,4,3.5
17,6,12,4,4,4,4,4
18,6,13,4,4,4,4,4
19,6,14,5,5,5,5,5
20,6,15,4,4,4,4,4
21,6,16,3,3,3,3,3
22,6,17,5,3,3,4,3.75
23,6,18,2,3,4,3,3
24,6,19,4,4,4,4,4
25,6,20,4,4,4,4,4
26,6,21,4,3,4,4,3.75
27,6,22,4,4,4,4,4
28,6,23,3,3,3,3,3
29,6,24,3,3,3,3,3
30,6,25,4,3,4,5,4
31,6,26,4,4,2,3,3.25
32,6,27,4,3,5,3,3.75
33,6,28,4,4,4,3,3.75
34,6,29,3,3,2,3,2.75
35,6,30,3,4,4,4,3.75
36,7,3,5,4,5,4,4.5
37,7,4,5,4,5,4,4.5
38,7,5,4,5,5,5,4.75
39,7,6,5,5,4,5,4.75
40,7,7,4,4,5,5,4.5
41,7,8,5,4,4,4,4.25
42,7,9,5,4,5,4,4.5
43,7,10,3,3,3,3,3
44,7,11,5,3,4,3,3.75
45,7,12,4,3,3,3,3.25
46,7,13,4,3,3,4,3.5
47,7,14,5,4,5,5,4.75
48,7,15,4,5,4,3,4
49,7,16,4,4,5,3,4
50,7,17,5,4,4,4,4.25
51,7,18,3,3,4,5,3.75
52,7,19,5,5,4,5,4.75
53,7,20,4,3,3,4,3.5
54,7,21,4,5,5,4,4.5
55,7,22,4,5,4,5,4.5
56,7,23,4,5,4,4,4.25
57,7,25,4,5,3,3,3.75
58,7,26,2,3,4,5,3.5
59,7,27,3,3,5,5,4
60,7,28,3,4,5,5,4.25
61,7,29,4,3,4,3,3.5
62,7,30,2,3,3,3,2.75
63,8,3,3,4,4,3,3.5
64,8,4,5,4,4,3,4
65,8,5,5,5,4,4,4.5
66,8,6,5,4,4,3,4
67,8,7,5,5,5,5,5
68,8,8,2,3,4,3,3
69,8,9,2,4,5,3,3.5
70,8,10,4,5,4,3,4
71,8,11,4,5,3,4,4
72,8,12,4,3,4,3,3.5
73,8,13,3,4,5,4,4
74,8,14,3,4,5,5,4.25
75,8,15,4,4,5,4,4.25
76,8,16,4,5,3,4,4
77,8,17,2,3,5,5,3.75
78,8,17,4,3,3,4,3.5
79,8,18,4,5,3,3,3.75
80,8,19,4,5,4,5,4.5
81,8,20,2,4,5,5,4
82,8,21,4,5,4,4,4.25
83,8,22,3,4,4,4,3.75
84,8,23,5,5,3,3,4
85,8,24,3,3,3,3,3
86,8,25,3,3,3,3,3
87,8,26,4,4,4,4,4
88,8,27,5,4,4,4,4.25
89,8,28,4,3,3,4,3.5
90,8,29,3,3,3,3,3
91,8,30,3,3,3,3,3
92,9,3,3,5,4,4,4
93,9,4,4,3,3,3,3.25
94,9,5,3,3,3,3,3
95,9,6,5,4,4,4,4.25
96,9,7,5,4,4,3,4
97,9,8,5,4,4,3,4
98,9,9,4,4,4,4,4
99,9,10,3,3,3,3,3
100,9,11,4,5,3,3,3.75
101,9,12,4,4,4,4,4
102,9,13,4,5,4,4,4.25
103,9,14,5,5,4,3,4.25
104,9,15,4,3,3,3,3.25
105,9,16,4,3,3,3,3.25
106,9,17,4,4,4,4,4
107,9,18,4,3,3,3,3.25
108,9,19,4,3,3,3,3.25
109,9,20,4,3,3,3,3.25
110,9,21,4,5,4,3,4
111,9,22,4,3,3,3,3.25
112,9,23,5,3,2,2,3
113,9,24,4,4,4,4,4
114,9,25,4,4,3,3,3.5
115,9,26,4,4,4,4,4
116,9,27,5,5,3,4,4.25
117,9,28,3,3,3,3,3
118,9,29,4,5,4,4,4.25
119,9,30,4,3,3,4,3.5
